★1+1★
CJ)흑삼한뿌리100ML - 7000원
덴마크)요구르트사과310ML - 1900원
덴마크)요구르트자두310ML - 1900원
덴마크)요구르트청포도310ML - 1900원
덴마크)요구르트파인애플310ML - 1900원
덴마크)요구르트플레인310ML - 1900원
칸타타)땅콩크림라떼275ML - 2200원
칸타타)아메리카노275ML(NB캔) - 2200원
칸타타)콜드브루블랙275ML(NB캔) - 2200원
칸타타)프리미엄라떼275ML(NB캔) - 2200원
레쓰비)카페타임라떼240ML - 1000원
레쓰비)카페타임아메리카노240ML - 1000원
덴마크)딸기딸기우유300ML - 1500원
덴마크)모닝시리얼우유310ML - 1500원
덴마크)블랙슈가밀크티300ML - 1500원
덴마크)스윗연유밀크티300ML - 1500원
덴마크)초코초코우유300ML - 1500원
덴마크)카페라떼(민트) - 1500원
덴마크)커피커피우유300ML - 1500원
롯데)제주사랑제주감귤500ML - 1700원
덴마크)얼라이브망고250ML - 1500원
덴마크)얼라이브블러드오렌지250 - 1500원
덴마크)얼라이브스위티자몽250ML - 1500원
덴마크)인포켓치즈20G - 1200원
덴마크)함박눈꽃치즈25G - 1000원
덴마크)커핑로드모카라떼300ML - 2500원
덴마크)커핑로드에스프레소라떼 - 2500원
덴마크)커핑로드카페봉봉300ML - 2500원
유어스)타이거슈가흑당밀크티300 - 2500원
덴마크)콩카페연유라떼250ML - 2000원
덴마크)콩카페코코넛라떼250ML - 2000원
퍼펙트아이스)마일드라떼300ML - 2000원
퍼펙트아이스)에스프레소라떼300 - 2000원
퍼펙트아이스)카라멜마끼야또300 - 2000원
롯데)허니레몬배280ML - 1500원
롯데)오랑지나420ML - 2000원
롯데)칠성스트롱사이다400ML - 1700원
롯데)펩시스트롱400ML - 1700원
롯데)칠성사이다캔355ML - 1600원
SFC)수박소다UP350ML - 1200원
유어스(P)CAFE25블랙500ML - 2500원
유어스)하늘가득사과330ML - 1800원
유어스)하늘가득유자레몬330ML - 1800원
유어스)하늘가득자몽330ML - 1800원
UCC)블랙콜드브루PET500ML - 2500원
유어스)요구르트스파클링350ML - 1500원
동아제약)멕소롱골드액 - 1000원
동아)모닝케어강황100ML - 5000원
동아)모닝케어100ML - 4500원
동아)모닝케어레이디100ML - 4500원
웅진)아침햇살180ML - 1200원
유어스)웅진팥차500ML - 1500원
웅진)광명찾은결명자차500ML - 1500원
웅진)하늘보리PET500ML - 1500원
CJ)6년근홍삼진골드100ML - 1000원
CJ)컨디션헛개수1L - 2500원
CJ)컨디션헛개수340ML - 1500원
CJ)컨디션레이디100ML - 5000원
CJ)컨디션파워100ML - 5000원
CJ)새싹보리500ML - 2000원
CJ)컨디션헛개수500ML - 2000원
CJ)히비스커스헛개수500ML - 2000원
광동)탐라는제주감귤500ML - 1600원
진로)토닉워터300ML - 1200원
진로)토닉워터깔라만시300ML - 1200원
하이트)블랙보리520ML - 1600원
하이트)새벽헛개520ML - 1600원
하이트)블랙보리라이트520ML - 1500원
정식품)말차두유병190ML - 1400원
정식품)베지밀B검은콩두유190ML - 1400원
정식품)아몬드호두두유병190ML - 1400원
정식품)베지밀A병190ML - 1300원
고려은단)마시는비타민C100ML - 700원
영진)구론산바몬드오리지날150ML - 1000원
썬키스트)모과생강280ML - 1600원
해태)썬키스트허니유자280ML - 1600원
썬키스트)레몬워터500ML - 1500원
썬키스트)칵테일블루하와이350ML - 1500원
코카)썬키스트자몽소다350ML - 1500원
글라소)에너지500ML - 2000원
글라소)파워씨500ML - 2000원
파워에이드)마운틴블러스트240ML - 1000원
코카)토레타240ML - 1200원
미닛)코코구미파인300ML - 1500원
코카)슈웹스레몬350ML - 1700원
동아)데자와밀크티캔240ML - 1300원
동아)데자와로얄밀크티500ML - 2000원
동아)컨피던스병230ML - 1200원
동아)나랑드사이다245ML - 1000원
동아)데미소다애플캔250ML - 1200원
동아)오로나민C120ML - 1000원
광동)비타500 180ML - 1300원
광동)헛개파워100ML - 4500원
광동)돼지감자차500ML - 1600원
광동)힘찬하루헛개차1L - 2000원
광동)우엉차500ML - 1600원
광동)야관문차야왕500ML - 2000원
광동)솔표위청수골드75ML - 1000원
광동)비타500캔240ML - 1200원
현대)미에로화이바210ML - 1350원
OKF)알로에베라킹500ML - 1900원
삼육)검은콩호두아몬드200ML - 1200원
동서)콜롬비아나마스터라떼500ML - 2500원
동서)콜롬비아나마스터블랙500ML - 2500원
동서)콜롬비아나블랙240ML - 1200원
동서)콜롬비아나아메리카노240ML - 1200원
동서)콜롬비아나카페라떼240ML - 1200원
맥심)TOP더블랙380ML - 2900원
맥심)TOP마스터라떼380ML - 2900원
맥심)TOP스위트아메리카노380ML - 2900원
맥심)TOP더블랙275ML - 2200원
맥심)TOP마스터라떼275ML - 2200원
맥심)TOP스위트아메리카노275ML - 2200원
농심)파워O2(오렌지레몬)500ML - 2100원
농심)카프리썬오렌지200ML - 900원
농심)백산수500ML - 950원
농심)백산수2L - 1700원
일화)맥콜500ML - 1700원
일화)맥콜355ML - 1400원
일화)맥콜250ML - 1200원
동원)보성꽃차500ML - 2200원
유어스(P)지리산하동녹차500ML - 2000원
웅진)장쾌삼발효홍삼력세트 - 39000원
정식품)아몬드호두두유190ML - 1100원
정식품)한끼두유팩190ML - 900원
정식품)검은참깨두유팩190ML - 900원
한독)레디큐120ML - 5000원
웅진)꿀먹은초록매실180ML - 1300원
웅진)꿀홍삼180ML병 - 1300원
조지아)고티카빈티지라떼270ML - 2200원
조지아)고티카빈티지블랙270ML - 2200원
조지아)고티카스위트아메270ML - 2200원
코카)흑당밀크티270ML - 2200원
동아)오란씨깔라만시비타민C250 - 1000원
동아)오란씨오렌지비타민C250ML - 1000원
동아)오란씨파인비타민C250ML - 1000원
디레아)이어셋SW35 - 11500원
동아)모과생강캔240ML - 1300원
GS)딸기스파클링350ML - 1200원
롯데)핑크퐁딸기235ML - 1200원
롯데)핑크퐁백포도u0026복숭아235ML - 1200원
영화관)즉석구이오징어60G - 4100원
더진한)붉은대게딱지장60G - 3500원
한입)달콤찐강낭콩80G - 2500원
한입)자색찐고구마80G - 2500원
촉촉한군고구마(65G/봉) - 2800원
순수고구마(130G/진공포장) - 2500원
돌)망고컵198G - 2400원
돌)복숭아컵198G - 2400원
돌)자몽메들리컵198G - 2400원
돌)파인애플컵198G - 2400원
해맑음)아몬드30G - 1000원
해맑음)캐슈넛30G - 1000원
해맑음)호두25G - 1000원
FRESH)디저트딸기(150G/팩) - 3000원
흥선)밀카밀크바900 - 900원
흥선)밀카미니4000 - 4000원
흥선)캐드베리크런치1700 - 1700원
흥선)밀카스트로베리바1500 - 1500원
흥선)밀카오레오바1500 - 1500원
롯데)구미당기는구미딸기1000 - 1000원

★덤증정★
하림)프로틴쉐이크(검은콩u0026곡물) (+서울)우유200ML) - 3900원
하림)프로틴쉐이크(단호박u0026고구) (+서울)우유200ML) - 3900원
롯데)꼬깔콘딥소스팩(마요)2000 (+롯데)꼬깔콘카라멜아몬드1000) - 2000원
롯데)도리토스딥소스(마요)2000 (+롯데)꼬깔콘카라멜아몬드1000) - 2000원
롯데)도리토스딥소스(살사)2000 (+롯데)꼬깔콘카라멜아몬드1000) - 2000원
롯데)칙촉2400 (+롯데)초에너지바1200) - 2400원
유어스)가락우동232G (+한울)꼬마단무지120G) - 2200원
유어스)김치우동243G (+한울)꼬마단무지120G) - 2900원
롯데)가나마일드2000 (+롯데)크런키볼파우치1000) - 2000원
롯데)가나밀크2000 (+롯데)크런키볼파우치1000) - 2000원
CJ)고메치킨박스고추크런치300G (+롯데)펩시콜라600MLPET) - 7900원
CJ)고메치킨박스스윗허니300G (+롯데)펩시콜라600MLPET) - 7900원
장어추어탕420G (+오뚜기)작은밥150G) - 5500원
아워홈)차돌마라떡볶이280G (+제니코)라면쏘옥치즈30G) - 3400원
CJ)비엔나떡볶이300G (+CJ)훈제대란2입) - 3200원
CJ)가쓰오우동(용기) (+CJ)비비고베이컨김치볶음70G) - 2900원
서른이란)지정농장판란(30입) (+지정농장1등급란(10입)) - 6800원
만수르의간식(대추야자)65G (+롯데)레쓰비마일드240ML) - 4500원

