★1+1★
의성마늘프랑크350G(+소스70G) - 7000원
씨알로)콘시리얼바900 - 900원
유어스)벚꽃팝콘1200 - 1200원
유어스)코울슬로맛팝콘 - 1200원
커널스)슈퍼믹스팝콘1500 - 1500원
커널스)크리미카라멜팝콘1500 - 1500원
유어스)허쉬다크u0026화이트칩1500 - 1500원
허쉬)초콜릿칩쿠키1500 - 1500원
도라에몽버터쿠키2500 - 2500원
생미쉘)마들렌(175G)2900 - 2900원
생미쉘)초코칩마들렌(175G)2900 - 2900원

★덤증정★
비폰)포띠뽀(쌀국수) (+유어스)맑은샘물500ML) - 1900원
쫀득한군고구마(110G/봉) (+광동)비타500 100ML) - 3900원
질레트)플렉스볼메뉴면도기 (+오랄비)여행용치솔) - 17500원
리뉴)멀티플러스355ML (+리뉴)여행용패키지60ML) - 7500원
갸스비)그란지매트80G (+편)갸스비셋u0026킵스프레이45G) - 9500원
갸스비)스파이키엣지80G (+편)갸스비셋u0026킵스프레이45G) - 9500원
갸스비)와일드쉐이크80G (+편)갸스비셋u0026킵스프레이45G) - 9500원
유어스)디즈니양송이컵수프 (+유어스)디즈니양송이컵수프) - 2900원
유어스)디즈니체다치즈컵수프 (+유어스)디즈니양송이컵수프) - 2900원
유어스)디즈니콘치즈컵수프 (+유어스)디즈니양송이컵수프) - 2900원
유어스)맑은샘물1.0L (+수퍼콘즈)옥수수스틱500) - 800원
유어스(P)오모리김치돼지찜450G (+CJ)햇반(원형)210G) - 5500원
태경)매콤한닭볶음탕550G (+CJ)햇반(원형)210G) - 5500원
태경)우거지뼈해장국650G (+CJ)햇반(원형)210G) - 4900원
농심)건면새우탕(봉지) (+농심)건면새우탕(봉지)) - 1600원
오뚜기)리얼치즈라면(봉지) (+오뚜기)리얼치즈라면(봉지)) - 1500원
CJ)가쓰오우동(용기) (+CJ)비비고썰은배추김치100G) - 2900원
켈로그)허쉬초코크런치1500 (+서울)우유200ML) - 1500원
켈로그)크런치넛에너지바1200 (+켈로그)크런치넛에너지바1200) - 1200원
켈로그)레드베리에너지바 (+켈로그)레드베리에너지바) - 1200원
켈로그)라이스크리스피오리지날 (+켈로그)라이스크리스피오리지날) - 900원
켈로그)라이스크리스피초코900 (+켈로그)라이스크리스피초코900) - 900원
