★1+1★
잘풀리는집)3겹27M*9롤 - 10500원
CJ)햇반(발아현미밥)210G - 2400원
CJ)햇반(오곡밥)210G - 2400원
CJ)햇반(흑미밥)210G - 2400원
CJ)버섯야채죽450G(파우치) - 4900원
CJ)소고기죽450G(파우치) - 4900원
CJ)전복죽450G(파우치) - 4900원
맥심)TOP더블랙200ML - 1100원
맥심)TOP마스터라떼200ML - 1100원
맥심)TOP스위트아메리카노200ML - 1100원
현대)미에로화이바350ML - 1800원
CJ)비비고누룽지닭백숙죽 - 3900원
CJ)비비고단호박죽280G - 3900원
CJ)비비고버섯야채죽280G - 3900원
CJ)비비고소고기죽280G - 3900원
CJ)비비고전복죽280G - 4200원
동아)데자와밀크티캔240ML - 1300원
동아)데자와로얄밀크티500ML - 2000원
동아)컨피던스병230ML - 1200원
CJ)햇반낙지콩나물비빔밥(컵밥) - 4500원
CJ)햇반닭곰탕밥(컵밥) - 4500원
CJ)햇반버터장조림비빔밥 - 4500원
CJ)햇반설렁탕밥(컵밥) - 4500원
CJ)햇반스팸마요덮밥 - 4500원
CJ)햇반치킨마요덮밥(컵밥) - 4500원
동아)나랑드사이다245ML - 1000원
CJ)스팸120G - 3500원
CJ)햇반미역국밥 - 3500원
CJ)햇반사골곰탕국밥 - 3500원
CJ)햇반순두부찌개국밥 - 3500원
CJ)햇반육개장국밥 - 3500원
CJ)햇반황태국밥 - 3500원
동아)데미소다애플캔250ML - 1200원
동아)오로나민C120ML - 1000원
OKF)알로에베라킹500ML - 1900원
광동)헛개파워100ML - 4500원
광동)돼지감자차500ML - 1600원
광동)우엉차500ML - 1600원
광동)야관문차야왕500ML - 2000원
롯데)오가닉레드비트u0026배u0026토마토 - 1400원
롯데)오가닉사과u0026당근125ML - 1400원
델몬트)콜드오렌지1000ML - 4400원
델몬트)콜드쥬스포도1000ML - 4400원
광동)솔표위청수골드75ML - 1000원
광동)비타500캔240ML - 1200원
매일)99.89두유190ML - 1000원
매일)두유식이섬유190ML - 1000원
매일)상하미니칼슘체다치즈48G - 2000원
매일)상하미니크림치즈48G - 2000원
광동)비타500로열폴리스120ML - 1500원
매일)도마슈노(베리믹스)180ML - 1800원
매일)도마슈노과일야채180ML - 1800원
매일)바이오드링킹딸기250ML - 1700원
매일)바이오드링킹블루베리250ML - 1700원
매일)바이오드링킹사과250ML - 1700원
매일)바이오드링킹플레인250ML - 1700원
광동)대추쌍화150ML - 1500원
매일)우유속에딸기과즙우유300ML - 1500원
매일)우유속에코코아300ML - 1500원
매일)커피속에마끼야또300ML - 1500원
매일)커피속에모카치노300ML - 1500원
매일)커피속에흑당카페돌체300ML - 1500원
매일)카페라떼마일드 - 1600원
매일)카페라떼마일드로슈거 - 1600원
매일)카페라떼말차아몬드브리즈 - 1600원
매일)카페라떼제주말차라떼 - 1600원
매일)카페라떼카라멜 - 1600원
매일)바리스타로슈거에스프레소 - 2000원
매일)바리스타모카프레소250ML - 2000원
매일)바리스타스모키250ML - 2000원
매일)바리스타에스프레소라떼250 - 2000원
매일)바리스타카라멜프레소250ML - 2000원
정관장)아이키커사과100ML - 1200원
정관장)아이키커오렌지100ML - 1200원
정관장)홍삼원골드100ML(파우치) - 1500원
정관장)홍삼원100ML - 1000원
유어스(P)CAFE25블랙500ML - 2500원
유어스)하늘가득사과330ML - 1800원
유어스)하늘가득유자레몬330ML - 1800원
유어스)하늘가득자몽330ML - 1800원
동아제약)멕소롱골드액 - 1000원
동아)모닝케어강황100ML - 5000원
동아)모닝케어100ML - 4500원
동아)모닝케어레이디100ML - 4500원
하와이안썬)파인애플오렌지340ML - 2000원
유어스)두유라이크쇼콜라195ML - 1300원
정식품)말차두유병190ML - 1400원
정식품)베지밀B검은콩두유190ML - 1400원
정식품)아몬드호두두유병190ML - 1400원
하겐)녹차파인트 - 11300원
하겐)딸기파인트 - 11300원
하겐)마카다미아파인트 - 11300원
하겐)바닐라파인트 - 11300원
하겐)브라우니마키아또파인트473 - 11300원
하겐)쵸코렛파인트 - 11300원
하겐)카라멜크렘브륄레파인트473 - 11300원
하겐)쿠키앤크림파인트 - 11300원
하겐)피넛버터파인트474ML - 11300원
정식품)국산검은콩병두유190ML - 1500원
진로)토닉워터300ML - 1200원
진로)토닉워터깔라만시300ML - 1200원
라벨리)초코앤쿠키컵474ML - 3900원
유어스(P)티라미수빙수280ML - 3000원
하이트)블랙보리520ML - 1600원
하이트)새벽헛개500ML - 1600원
유어스(P)라벨리인절미미니컵 - 2500원
유어스(P)크런키녹차2500 - 2500원
유어스(P)크런키바나나콘135ML - 2500원
유어스(P)크런키초코2500 - 2500원
하이트)블랙보리라이트520ML - 1500원
라베스트)벨기에초코바85ML - 2000원
라베스트)쿠키크림치즈바 - 2000원
유어스(P)다크초코라즈베리바 - 2000원
해태)부라보소프트콘140ML - 2000원
유어스)UCC과테말라블랙270ML - 2300원
유어스)UCC바닐라향라떼260ML - 2300원
롯데)말랑한찰떡아이스 - 1800원
롯데)본가찰옥수수140ML - 1800원
롯데푸드)국화빵앙버터150ML - 1800원
롯데푸드)쿠키오130ML - 1800원
유어스(P)생초콜릿바70ML - 1800원
유어스)크런키녹차바 - 1800원
유어스)크런키민트바 - 1800원
해태)부라보수박콘140ML - 1800원
유어스(P)요구르트딸기바80ML - 1500원
유어스)쌍쌍바다방커피맛67ML - 1000원
해태)바밤바골드63ml - 1000원
해태)호두마루바63ML - 1000원
UCC)블랙콜드브루PET500ML - 2500원
브이톡)블루레몬에이드(누드캔) - 1000원
브이톡)핑크복숭아에이드350ML - 1000원
동화약품)부채표미인활액75ML - 1000원
유어스)웅진팥차500ML - 1500원
웅진)광명찾은결명자차500ML - 1500원
웅진)이온더핏500ML - 2000원
고려은단)마시는비타민C100ML - 700원
롯데)빅팜60G - 1400원
롯데)키스틱55G - 1600원
롯데)미니비엔나140G - 3100원
롯데)마늘앤뽀득프랑크140G - 3300원
롯데)의성마늘비엔나꼬치85G - 2300원
롯데)의성마늘빅프랑크90G - 2000원
진주)천하장사28G - 900원
진주)천하장사BIG70G - 1900원
진주)천하장사50G - 1500원
진주)천하장사치즈50G - 1500원
유어스)한컵비엔나119G - 3000원
동원)친친소시지70G - 1400원
대림)스노우크랩킹70G - 1600원
대림)한입에꼬치다100G - 2000원
목우촌)너에게꼬치다90G - 1700원
삼양)불닭후랑크(치즈)80G - 2100원
삼양)불닭후랑크80G - 2100원
삼양)불닭핫스틱45G - 1600원

★덤증정★
장어추어탕420G (+오뚜기)작은밥150G) - 5500원
롯데)쁘띠몽쉘치즈베리2000 (+롯데)꼬깔콘카라멜아몬드1000) - 2000원
롯데)카스타드카카오베리2400 (+롯데)꼬깔콘카라멜아몬드1000) - 2400원
리뉴)멀티플러스355ML (+리뉴)여행용패키지60ML) - 7500원
유어스)가락우동232G (+한울)꼬마단무지120G) - 2200원

